gvkey,conm,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
006921,MACMILLAN RING-FREE OIL CO,554800102,,C,01,LU,50738,3036,19800118,19880729
006922,MSC SOFTWARE CORP,553531104,0000717238,P,01,LU,66253,5961,19830505,20091030
006924,MACROCHEM CORP/DE,555903301,0000743884,C,01,LU,89771,7421,19930331,20051121
006924,MACROCHEM CORP/DE,555903301,0000743884,C,01,LU,89771,7421,19850830,19891207
006924,MACROCHEM CORP/DE,555903301,0000743884,C,00X,LU,89771,7421,19850814,19850829
006925,MACRODATA CORP,556078103,0000061289,P,01,LU,50754,2833,19721214,19760331
006926,MACRODYNE INDS,556096105,,C,01,LU,46121,24863,19680424,19860512
006927,MACROSE INDUSTRIES CORP,556105203,0000061293,P,01,LU,50762,2820,19781020,19871130
006928,MACY (R H) & CO,556139939,0000061300,C,00X,LU,12976,22397,19490801,19620130
006928,MACY (R H) & CO,556139939,0000061300,P,02,LU,12976,22397,19620131,19860715
006930,NORTH AMERICAN PALLADIUM,65704X109,0000887701,C,01,LC,79853,12603,20001013,20150415
006930,NORTH AMERICAN PALLADIUM,65704X109,0000887701,C,01,LC,79853,12603,19931122,19980419
006932,MGE ENERGY INC,55277P104,0001161728,P,01,LU,50789,2847,19721214,E
006934,ADOBE RESOURCES CORP,007240104,0000777877,P,01,LU,68216,20025,19851210,19920529
006935,MADISON SQUARE GARDEN,558260204,,P,01,LC,12984,22398,19680131,19770729
006935,MADISON SQUARE GARDEN,558260204,,C,00X,LC,12984,22398,19640601,19680130
006936,MAGELLAN PETROLEUM CORP,559091608,,C,01,LC,89790,3021,19821101,20170209
006937,MAGIC CHEF INC,559108105,0000110626,P,01,LU,50163,25112,19700225,19860530
006938,MAGIC CIRCLE ENERGY CORP,559116108,0000356128,C,01,LU,50818,2805,19800801,19920331
006939,MAGIC MARKER CORP,559142104,,C,01,LU,33910,2751,19620702,19790131
006940,MAGIC MARKER INDUSTRIES INC,559150206,0000310311,C,01,LU,50834,3518,19800107,19851001
006941,MAGMA COPPER CO  -OLD,559176102,,P,01,LC,28513,23547,19670131,19681231
006941,MAGMA COPPER CO  -OLD,559176102,,C,00X,LC,28513,23547,19640101,19670130
006942,MAGMA ENERGY INC,559185202,0000061426,P,01,LU,50842,2749,19740131,19880331
006942,MAGMA ENERGY INC,559185202,0000061426,C,00X,LU,50842,2749,19740101,19740130
006944,MAGMA POWER CO,559194105,0000355878,P,01,LC,50877,2900,19820518,19950224
006944,MAGMA POWER CO,559194105,0000355878,P,01,LC,50869,2900,19780131,19820426
006944,MAGMA POWER CO,559194105,0000355878,C,00X,LC,50869,2900,19740101,19780130
006946,MAGNA INTERNATIONAL INC,559222401,0000749098,C,01,LC,78045,26268,19840823,E
006947,MAGNA OIL CORP,559244108,0000061440,P,01,LU,33929,23963,19660131,19720428
006948,ASCENT MEDIA GROUP INC,043634104,0000061442,C,01,LC,88354,9048,20000614,20030701
006948,ASCENT MEDIA GROUP INC,043634104,0000061442,C,01,LC,11198,9048,19870324,20000609
006949,WORLDWIDE COLLECTIONS FUND,98155T103,0000704774,P,01,LU,89819,7355,19841220,19930226
006952,MAGNAVOX CO,559380100,0000061457,P,01,LU,23018,23184,19620131,19750731
006952,MAGNAVOX CO,559380100,0000061457,C,00X,LU,23018,23184,19490701,19620130
006953,MAGNETIC HEAD CORP,559457106,0000061480,C,00X,LU,50914,2906,19731201,19800629
006953,MAGNETIC HEAD CORP,559457106,0000061480,C,01,LU,50914,2906,19800630,19861226
006954,MAGNETIC INFORMATION TECH,559460100,0000717834,P,01,LU,50922,6032,19830602,19850329
006955,MAGNETIC METALS CO,559482104,0000061482,P,01,LU,50949,2960,19721214,19750630
006956,MAGNETIC TECHNOLOGIES CORP,559492202,0000015354,P,01,LU,50965,702,19790131,19971231
006957,MAGNETICS INTERNATIONAL INC,559510102,0000061486,C,00X,LU,50973,2752,19740101,19740130
006957,MAGNETICS INTERNATIONAL INC,559510102,0000061486,P,01,LU,50973,2752,19740131,19860324
006959,MAGNUSON COMPUTER SYS INC,559726104,,P,01,LU,50981,2830,19800625,19830331
006961,MAIN LINE FLEETS INC,560339103,0000061595,P,01,LU,51028,2950,19721214,19740628
006963,MAINE & MARITIMES CORP,560377103,0001222497,P,01,LU,33937,21147,19620702,20101231
006965,MAINSTREAM ENGINEERING INC,560630105,,C,01,LU,51044,2754,19810617,19821006
006967,MAJESTIC ELECTRO INDS LTD,560728107,,C,01,LU,51052,2938,19800902,19840131
006971,MAJOR REALTY CORP,560840100,0000061666,C,01,LU,51079,2755,19730831,19980831
006971,MAJOR REALTY CORP,560840100,0000061666,C,00X,LU,51079,2755,19730601,19730830
006972,MAKITA CORP,560877300,0000202467,P,90,LC,51087,2944,19780131,20130419
006973,MAJOR EXPLORATION INC,560900102,0000320673,C,01,LU,51108,2756,19810401,19860926
006974,REPUBLIC GOLDFIELDS,76045L100,0000733314,P,01,LU,66632,21149,19840706,19951130
006975,MALLINCKRODT INC  -OLD,561229303,,P,01,LU,51132,2758,19721214,19820226
006976,MALLON MINERALS CORP,561235102,0000352270,P,01,LC,51159,6889,19840301,19881221
006977,MALLORY (P.R.) & CO INC,561246109,,P,01,LU,26235,23395,19620131,19790131
006978,MALLORY RANDALL CORP,561263203,0000061740,P,01,LU,33953,2746,19790131,19811231
006978,MALLORY RANDALL CORP,561263203,0000061740,C,00X,LU,33953,2746,19740101,19790130
006979,MALONE & HYDE INC,561280108,0000061757,P,01,LU,52441,25253,19710510,19840731
006980,MALRITE COMMUNICATNS,561338104,0000734102,P,01,LU,51175,6802,19840120,19890228
006980,MALRITE COMMUNICATNS,561338104,0000734102,J,02,LU,89827,6802,19850731,19890228
006981,MAMMATECH CORP,561508201,,C,01,LU,51183,5805,19830228,19851202
006981,MAMMATECH CORP,561508201,,C,00X,LU,51183,5805,19830215,19830227
006982,MAMMOTH MART INC,561569104,0000216460,C,01,LU,41910,2966,19650503,19770729
006984,MAMMOTH RESOURCES INC,87154R101,,C,00X,LU,51191,7164,19840803,19840830
006984,MAMMOTH RESOURCES INC,87154R101,,C,01,LU,51191,7164,19840831,19860418
006985,MANAGEMENT ASSISTANCE LIQ TR,561671504,0000785852,C,01,LU,61428,25667,19791105,19920713
006986,MANAGEMENT SCIENCE AMERICA,561699109,0000350927,P,01,LU,51204,3046,19810408,19900131
006987,MANAGEMENT SUPPORT TECH INC,561702101,,P,01,LU,51212,7153,19840724,19850731
006989,HOWE RICHARDSON INC,443009105,0000061931,P,01,LC,33988,20943,19620702,19900425
006990,MANHATTAN INDUSTRIES INC,562876102,0000061946,P,01,LU,13012,22401,19620131,19880407
006990,MANHATTAN INDUSTRIES INC,562876102,0000061946,C,00X,LU,13012,22401,19500101,19620130
006991,MANHATTAN NATIONAL CORP,563114107,0000061952,P,01,LU,58341,2947,19790131,19920131
006991,MANHATTAN NATIONAL CORP,563114107,0000061952,C,00X,LU,58341,2947,19790101,19790130
006994,MANITOWOC CO,563571405,0000061986,P,01,LU,51263,2767,19721214,E
006995,ENVENTIS CORP,29402J101,0000766561,P,01,LC,81311,27566,19950323,20141031
006996,MANN MFG INC,563765106,0000062018,P,01,LU,51290,2765,19721214,19770131
006997,MANNING (MARTHA) CO,563826106,,C,00X,LU,51298,3068,19740101,19771129
006997,MANNING (MARTHA) CO,563826106,,P,01,LU,51298,3068,19771130,19810630
006998,MANOR CARE INC-OLD,564054104,0000354604,P,01,LU,59926,2766,19721214,19980930
006999,MANPOWER INC-OLD,564181105,,P,01,LU,44978,24789,19670914,19760227
007000,MANSFIELD TIRE & RUBBER CO,564402105,0000062087,C,01,LU,33996,23965,19620702,19771019
007002,MANUFACTURED HOMES  -CL A,564685105,0000721688,C,01,LU,51335,6270,19830809,19900626
007003,MANUFACTURERS HANOVER CORP,564809101,0000062119,P,01,LU,48223,21150,19690428,19911231
007005,MANUFACTURERS NATIONAL CORP,565004108,0000062126,P,01,LC,51351,2981,19721214,19920617
007006,MANUFACTURING DATA SYSTEMS,565010105,,P,01,LU,51370,2848,19760211,19810130
007007,JOHNS MANVILLE CORP,478129109,0000355473,P,01,LU,90100,21151,19881129,20010227
007007,JOHNS MANVILLE CORP,478129109,0000355473,P,01,LU,16707,21151,19620131,19881128
007007,JOHNS MANVILLE CORP,478129109,0000355473,C,00X,LU,16707,21151,19500101,19620130
007008,MAPCO INC,565097102,0000062142,P,01,LU,43668,21152,19660810,19980331
007009,MAPI INC,565104106,0000062146,C,01,LU,51378,2768,19721214,19810630
007012,MAPLE PRESS CO,565311107,0000062152,C,01,LU,51386,2769,19740131,19750102
007012,MAPLE PRESS CO,565311107,0000062152,C,00X,LU,51386,2769,19740101,19740130
007013,MARANTZ INC,565754108,,P,01,LU,43959,24722,19661121,19870227
007015,MARATHON MFG CO,565821105,0000062177,P,01,LU,52521,25258,19710519,19791130
007016,MARATHON OFFICE SUPPLY INC,565840105,0000039735,C,01,LU,66261,1972,19790329,19880729
007017,MARATHON OIL CORP,565849106,0000101778,C,01,LC,15069,21795,19910412,E
007017,MARATHON OIL CORP,565849106,0000101778,C,01,LC,13047,22405,19620131,19820311
007017,MARATHON OIL CORP,565849106,0000101778,C,00X,LC,13047,22405,19500101,19620130
007018,MARCADE GROUP INC,566139101,,C,01,LU,64039,21153,19820126,19921130
007020,ARIL GROUP INC,040394108,0000765883,C,01,LU,89843,7566,19850618,19910731
007021,MARCOR INC,566319000,0000062225,P,01,LU,13063,22407,19730201,19760701
007022,MARCUS CORP,566330106,0000062234,P,01,LU,51423,3031,19721214,E
007024,MAREMONT CORP,566472106,0000225595,P,01,LU,27107,23453,19620131,19790731
007025,MARGAUX INC,566600102,0000709694,C,01,LU,51450,6101,19830624,19900829
007026,MARGO'S LAMODE INC,566608105,,P,01,LU,51458,3040,19771230,19790731
007026,MARGO'S LAMODE INC,566608105,,C,00X,LU,51458,3040,19730101,19771229
007029,MARINDUQUE MNG & INDL  -CL B,568100408,,C,01,LU,45719,24841,19680207,19840918
007030,MARINE COLLOIDS INC,568231104,0000062332,P,01,LU,51482,2815,19721214,19771130
007031,MARINE CORP-WISC,568236103,0000713168,P,01,LU,51503,2828,19721214,19880331
007032,MARINE MIDLAND BANKS,568287106,0000062348,P,01,LU,19043,22890,19620131,19871215
007032,MARINE MIDLAND BANKS,568287106,0000062348,C,00X,LU,19043,22890,19580101,19620130
007033,MARINE NUTRITIONAL SYSTEMS,568415103,,P,01,LU,51511,2979,19790131,19810430
007034,MARINE PETROLEUM TRUST,568423107,0000062362,P,01,LU,51530,2775,19821101,E
007037,MARINE TRANSPORT LINES INC,568446108,0000711415,P,01,LU,51546,5859,19830315,19891130
007039,MARION CORP,568695209,0000062384,P,01,LU,51554,2774,19721214,19850131
007040,MARION MERRELL DOW INC,569790108,0000062391,P,01,LU,47837,21154,19690226,19950731
007042,MARITIME FRUIT CARRIERS-CL A,570323105,,C,01,LU,51589,25192,19721214,19760331
007044,MARK CONTROLS CORP-OLD,570385104,,P,01,LU,53882,25342,19720105,19870930
007045,MARK IV INDUSTRIES INC,570387100,0000062418,C,01,LU,67328,2941,19721214,20000929
007046,MARK PRODUCTS INC,570408104,0000062423,P,01,LU,62009,2773,19721214,19850228
007049,MARKET FACTS INC,570559104,0000062465,P,01,LU,51626,2886,19721214,19990630
007050,MARKETING SYSTEMS OF AMERICA,570608109,0000739281,C,01,LU,89870,7299,19841113,19920605
007055,MARLEY CO OLD,57199Y106,,P,01,LC,44169,24738,19701101,19810131
007056,MARLIN OIL CO,571182104,0000062636,P,01,LU,51642,5182,19811111,19851129
007059,MARQUEST MEDICAL PRODS INC,571431105,0000719497,P,01,LU,51677,6122,19830701,19970731
007060,MARQUEST RESOURCES  -CL A,571432103,0000062641,P,01,LU,51669,7092,19840619,19860530
007061,MARQUETTE CO,571443100,0000062671,P,01,LU,25195,23318,19620131,19760831
007063,HOST HOTELS & RESORTS INC,44107P104,0001070750,P,01,LU,46703,21157,19680826,E
007064,MARS STORES INC,571726108,0000062703,P,01,LU,51685,5806,19810130,19890228
007064,MARS STORES INC,571726108,0000062703,C,00X,LU,51685,5806,19740101,19810129
007065,MARSH & MCLENNAN COS,571748102,0000062709,P,01,LU,45751,21158,19680216,E
007066,MARSH SUPERMARKETS  -CL B,571783208,0000062737,P,03,LC,76670,2777,19940901,20060927
007066,MARSH SUPERMARKETS  -CL B,571783208,0000062737,J,03,LC,76670,2777,19910528,19940831
007066,MARSH SUPERMARKETS  -CL B,571783208,0000062737,J,02,LC,51693,2777,19940901,20060927
007066,MARSH SUPERMARKETS  -CL B,571783208,0000062737,C,01,LC,51693,2777,19910501,19910515
007066,MARSH SUPERMARKETS  -CL B,571783208,0000062737,P,01,LC,51693,2777,19721214,19910430
007066,MARSH SUPERMARKETS  -CL B,571783208,0000062737,P,02,LC,51693,2777,19910516,19940831
007067,MARSHALL & ILSLEY CORP,571837103,0001399315,P,01,LC,51706,3042,19721214,20110705
007068,MARSHALL FIELD & CO,572342103,0000062758,P,01,LU,18884,22882,19620131,19820630
007068,MARSHALL FIELD & CO,572342103,0000062758,C,00X,LU,18884,22882,19500201,19620130
007070,MARSHALL INDUSTRIES,572393106,0000062765,P,01,LU,45022,21159,19670922,19991029
007071,MARTEK INVESTORS INC,573057106,,C,01,LU,42374,24607,19650930,19830121
007072,MARTHA WHITE FOODS INC,573088101,,C,01,LU,51722,3044,19721214,19751031
007074,MARTIN LAWRENCE LTD EDITIONS,573269107,0000745600,P,01,LU,89886,7354,19841219,19960809
007075,MARTIN MARIETTA ALUM INC,573272002,,C,00X,LU,28089,23517,19781229,19840928
007076,MARTIN MARIETTA ALUM INC-OLD,573272101,,P,01,LU,28089,23517,19620131,19740628
007077,MARTIN MARIETTA CORP,572900108,0000897599,P,01,LU,20562,21160,19620131,19950331
007077,MARTIN MARIETTA CORP,572900108,0000897599,C,00X,LU,20562,21160,19570101,19620130
007078,MARTIN PROCESSING INC,573350105,0000062869,C,00X,LU,17347,22770,19730101,19730530
007078,MARTIN PROCESSING INC,573350105,0000062869,P,01,LU,17347,22770,19730531,19870831
007079,MARTINEZ & MURPHEY INC,573390101,0000729636,C,01,LU,51757,7005,19840503,19900731
007080,MARVA INDUSTRIES INC,573828100,0000062922,P,01,LC,51773,2778,19790330,19810227
007081,MARY KAY CORP,573888930,,P,02,LU,59061,2779,19721214,19851204
007082,MARYLAND CUP CORP,574055109,0000062960,P,01,LU,34024,23969,19620702,19830831
007083,MNC FINANCIAL INC,553107103,0000062973,C,01,LU,51781,2844,19721214,19931029
007085,MASCO CORP,574599106,0000062996,P,01,LU,34032,21161,19620702,E
007086,METALDYNE CORP,59199X930,0000745448,P,01,LC,51800,7089,19840618,20001128
007087,MASLAND (C.H.) & SONS,574803102,,P,01,LU,43377,24679,19660623,19860630
007088,MASONEILAN INTERNATIONAL INC,575369103,0000063045,P,01,LU,54308,25364,19720302,19770531
007089,MASONITE CORP,575379201,0000063049,P,01,LU,20386,22996,19620131,19840426
007089,MASONITE CORP,575379201,0000063049,C,00X,LU,20386,22996,19490901,19620130
007090,MASS MERCHANDISERS INC,575418108,0000063053,C,01,LU,34438,24004,19631231,19851029
007091,MASSMUTUAL MTG & RLTY INVS,575421102,,P,01,LU,51801,25206,19710113,19850628
007092,CCUR HOLDINGS INC,12509F107,0000749038,P,01,LC,51829,7177,19840809,E
007099,VARITY CORP,92224R602,,P,01,LU,34040,21860,19620702,19960930
007101,MASSTOR SYSTEMS CORP,576300107,0000715086,C,01,LC,51845,5881,19830325,19930415
007102,MAST/KEYSTONE INC,576310205,0000743250,C,02,LU,51853,7156,19840726,19920228
007104,MASTERS ENERGY CORP,576411102,0000351332,P,01,LU,51861,3061,19810610,19860331
007105,MASTERS INC,576412100,0000063171,P,01,LU,53006,25290,19710812,19810731
007106,VALPEY-FISHER CORP,920344108,0000085608,P,01,LC,35705,21163,19660429,20120131
007107,MATERIAL SCIENCES CORP,576674105,0000755003,P,01,LU,67002,21164,19841210,20140331
007108,MATERIALS RESEARCH,576680102,0000063194,P,01,LC,51270,25173,19701006,19890929
007109,MATHEMATICA INC,576714109,0000063202,P,01,LU,51888,2782,19721214,19830729
007110,MATHEMATICAL APPLICATIONS GP,576718100,,P,01,LU,51896,2748,19780829,19860331
007112,MATRIX CORP-N J,576829105,,P,01,LU,30082,23675,19651231,19881114
007113,MATRIX SCIENCE CORP,576850101,0000320568,P,01,LU,51909,3081,19810107,19880831
007114,PANASONIC CORP,69832A205,0000063271,P,90,LU,53727,21167,19711213,E
007116,MATTEL INC,577081102,0000063276,C,01,LU,39538,21168,19630812,E
007117,MAUI LAND & PINEAPPLE CO,577345101,0000063330,C,01,LU,51925,2784,19721214,E
007118,MAUL BROTHERS INC,577353105,0000063332,P,01,LU,41240,24522,19650129,19770930
007119,MAUL TECHNOLOGY CORP,577377104,0000015162,P,01,LU,49277,25057,19690923,19811130
007120,MAULE INDUSTRIES INC,577438104,0000063333,P,01,LU,34059,23971,19660131,19760331
007121,MAXCO INC,577723109,0000078966,P,01,LC,51933,2785,19780131,20070419
007122,MAXON INDUSTRIES INC,577725104,0000063373,P,01,LU,51941,2786,19730131,19821029
007123,MAXTOR CORP,577729205,0000711039,C,01,LC,86281,7680,19980731,20060519
007123,MAXTOR CORP,577729205,0000711039,C,01,LC,89894,7680,19850807,19960112
007124,MAXWELL TECHNOLOGIES INC,577767106,0000319815,P,01,LU,51960,5866,19830318,E
007125,MAXXAM GROUP HOLDINGS INC,577771009,,P,02,LU,26593,23417,19620131,19880520
007125,MAXXAM GROUP HOLDINGS INC,577771009,,C,00X,LU,26593,23417,19580829,19620130
007126,MAXXUS INC,577775109,,P,01,LC,51968,2846,19790131,19841231
007127,MAY DEPARTMENT STORES CO,577778103,0000063416,P,01,LC,13100,21172,19620131,20050829
007127,MAY DEPARTMENT STORES CO,577778103,0000063416,C,00X,LC,13100,21172,19500201,19620130
007129,MAY ENERGY PARTNERS LTD,577784101,0000701678,P,01,LU,67651,25792,19820826,19870331
007130,HALL FINANCIAL GROUP,406060103,0000063436,C,01,LU,51976,2789,19730105,19920506
007131,MAYER (OSCAR) & CO,577896103,,P,01,LU,51799,25205,19710112,19810430
007132,MAX & ERMAS RESTAURANTS,577903107,0000706471,P,01,LC,51984,6443,19831005,20080710
007133,MAXICARE HEALTH PLANS,577904501,0000722573,C,01,LU,51992,6296,19830818,20010524
007134,AMARILLO MESQUITE GRILL INC,023014103,0000727089,C,01,LU,52004,6452,19840831,19920817
007135,MAYFAIR SUPER MKTS  -CL A,578099103,0000063501,P,01,LU,52012,3103,19790131,19891130
007136,MAYFLOWER GROUP INC/IN,578349102,0000063506,C,01,LC,78171,11822,19921201,19950331
007136,MAYFLOWER GROUP INC/IN,578349102,0000063506,C,01,LC,63669,2787,19760511,19861217
007137,MAYNARD OIL CO,578444101,0000063528,P,01,LU,52039,2990,19750806,20020731
007138,MAYS (J.W.) INC,578473100,0000054187,C,01,LU,27617,7337,19620131,E
007139,MAYTAG CORP,578592107,0000063541,P,01,LC,13119,21173,19620131,20060331
007139,MAYTAG CORP,578592107,0000063541,C,00X,LC,13119,21173,19500101,19620130
007140,MAYMAC PETROLEUM CORP,578900102,0000746963,P,01,LU,78322,27320,19840131,19870831
007141,MCCALL CORP,579338104,0000063636,C,01,LC,16686,22709,19670131,19671229
007141,MCCALL CORP,579338104,0000063636,C,00X,LC,16686,22709,19620101,19670130
007142,MCCARTHY CO,579454109,0000063661,P,01,LU,52063,2832,19790521,19800131
007143,MCCLAIN INDUSTRIES INC,579487109,0000063686,C,01,LU,52071,2800,19780131,20021212
007143,MCCLAIN INDUSTRIES INC,579487109,0000063686,C,00X,LU,52071,2800,19740101,19780130
007145,MCCORD CORP,579746108,0000063745,P,01,LU,24213,23263,19620131,19780131
007145,MCCORD CORP,579746108,0000063745,C,00X,LU,24213,23263,19590901,19620130
007146,MCCORMICK & CO INC,579780206,0000063754,J,02,LC,89155,2801,20010917,E
007146,MCCORMICK & CO INC,579780206,0000063754,P,01,LC,52090,2801,19721214,E
007148,MCCRORY CORP,579865007,0000063801,C,99X,LU,15544,22614,19760228,19760312
007148,MCCRORY CORP,579865007,0000063801,P,01,LU,15544,22614,19730201,19760227
007152,MCDERMOTT INTL INC,580037703,0000708819,P,01,LC,64629,21175,19830316,E
007152,MCDERMOTT INTL INC,580037703,0000708819,P,01,LC,26534,23414,19620131,19830315
007153,MCDONALD & CO INVESTMENTS,580047108,0000720900,P,01,LU,65357,21176,19840131,19981030
007154,MCDONALD'S CORP,580135101,0000063908,P,01,LU,43449,21177,19660705,E
007155,MCDONNELL DOUGLAS CORP,580169100,0000063917,P,01,LU,26729,21178,19620131,19970829
007156,MCDONOUGH CO,580220101,0000063929,P,01,LU,11826,22306,19620131,19700619
007156,MCDONOUGH CO,580220101,0000063929,P,01,LU,49162,25050,19700620,19810130
007156,MCDONOUGH CO,580220101,0000063929,C,00X,LC,11826,22306,19491201,19620130
007157,MAXPHARMA INC,577726102,0000063938,P,01,LU,61436,2802,19721214,19880930
007158,MCFADDIN VENTURES INC,580400109,0000731807,P,01,LC,68558,6710,19831215,19890629
007159,MCFARLAND ENERGY INC,580432102,0000063959,P,01,LU,52135,2806,19760601,19970731
007160,MCGILL MANUFACTURING CO INC,580526101,0000063984,C,01,LU,52143,2899,19810723,19900227
007161,MCGRATH RENTCORP,580589109,0000752714,P,01,LU,89915,7301,19841113,E
007162,MCGRAW-EDISON CO,580628105,0000064030,P,01,LU,20263,22986,19620131,19850531
007162,MCGRAW-EDISON CO,580628105,0000064030,C,00X,LU,20263,22986,19500101,19620130
007163,S&P GLOBAL INC,78409V104,0000064040,P,01,LU,17478,21179,19620131,E
007163,S&P GLOBAL INC,78409V104,0000064040,C,00X,LU,17478,21179,19500101,19620130
007164,MCGREGOR CORP,580675106,,P,01,LC,89923,6529,19841119,19850313
007165,MCGREGOR-DONIGER INC-CL A,580679108,,P,01,LU,25929,2807,19620131,19790430
007166,MCINTOSH CORP,581182102,0000064090,P,01,LU,53735,25335,19711213,19770630
007167,MCINTYRE MINES LTD,581238102,0000064099,P,01,LU,13135,22411,19620131,19890131
007167,MCINTYRE MINES LTD,581238102,0000064099,C,00X,LU,13135,22411,19500101,19620130
007168,MCKEE CORP,581328101,0000205610,P,01,LU,27131,23455,19620131,19781031
007170,MCKEON LIQUIDATION,581552106,,P,01,LU,54025,25348,19720127,19811030
007171,MCKESSON CORP,58155Q103,0000927653,P,01,LC,81061,30521,19941201,E
007171,MCKESSON CORP,58155Q103,0000927653,P,01,LC,25646,21180,19670720,19941130
007171,MCKESSON CORP,58155Q103,0000927653,P,01,LC,21266,23057,19620131,19670719
007171,MCKESSON CORP,58155Q103,0000927653,C,00X,LC,21266,23057,19610401,19620130
007173,MCLEAN INDUSTRIES INC,582087102,0001140601,P,01,LU,65664,6305,19830819,19880906
007174,MCLEAN TRUCKING CO,582103107,0000064230,P,01,LU,26497,23411,19620131,19820831
007175,MCLOUTH STEEL CORP,582273108,,P,01,LU,39685,5249,19631011,19830131
007176,MCMORAN OIL & GAS CO,582430104,0000921941,P,01,LU,60652,2964,19721214,19810430
007177,MCNEIL CORP,582562104,0000064305,P,01,LU,28097,23518,19620131,19860829
007178,MCQUAY INC,582699104,,P,01,LU,52207,2824,19721214,19841031
007179,MCRAE INDUSTRIES  -CL A,582757209,0000729284,P,01,LC,65672,2825,19831003,20051201
007179,MCRAE INDUSTRIES  -CL A,582757209,0000729284,N,02,LC,64637,2825,19831031,20051201
007179,MCRAE INDUSTRIES  -CL A,582757209,0000729284,P,03,LC,64637,2825,19810814,19830922
007180,MEAD CORP,582834107,,P,01,LU,19895,21182,19620131,20020131
007180,MEAD CORP,582834107,,C,00X,LU,19895,21182,19500101,19620130
007181,MEANS SERVICES INC,583393103,0000064435,P,01,LC,47765,24963,19690220,19820416
007182,MEASUREX CORP,583432109,0000751190,P,01,LU,59942,3058,19721214,19970331
007183,MECHANICAL TECHNOLOGY INC,583538202,0000064463,C,01,LU,52231,3074,19810410,E
007185,GENCOR INDUSTRIES INC,368678108,0000064472,C,00X,LU,52250,2809,19740101,19790130
007185,GENCOR INDUSTRIES INC,368678108,0000064472,C,01,LU,52250,2809,19790131,E
007186,MEDCO HEALTH SOLUTIONS INC,58405U102,0001170650,P,02,LC,89813,44277,20030820,20120402
007186,MEDCO HEALTH SOLUTIONS INC,58405U102,0001170650,P,01,LC,52258,6995,19840418,19931130
007187,MED-PAK CORP,584015101,,P,01,LU,52266,2845,19790131,19810218
007187,MED-PAK CORP,584015101,,C,00X,LU,52266,2845,19730601,19790130
007188,U S HEALTH RESOURCES CORP,912042108,0000719611,C,01,LU,52274,6237,19830830,19860703
007189,MEDALIST INDS,584020101,0000064493,P,01,LU,50577,7573,19700515,19960628
007190,MEDALLION GROUP INC,584025100,0000064494,C,01,LU,31544,23785,19630329,19791231
007191,MEDALLION LEISURE CORP,584026108,0000064496,P,01,LU,55845,25474,19721108,19751031
007192,INTEGRAL VISION INC,45811H106,0000719152,P,01,LU,52282,6077,19830617,20010815
007194,MEDCO GROUP INC,584053201,,P,01,LU,78532,27625,19841010,19880429
007195,MEDCO JEWELRY CORP,584057301,,P,01,LU,39044,24356,19660131,19790627
007196,MEDCO RESEARCH INC,584059109,0000723385,P,01,LU,89931,7293,19841108,20000229
007197,MEDCOM INC,584061105,0000064502,P,01,LU,52311,2858,19721214,19820430
007198,MEDCOR INC,584065106,0000064503,P,01,LU,52330,2836,19800414,19810930
007199,MEDEX INC -REDH,58499A913,0000064513,P,01,LC,52346,2839,19800227,19970116
007200,MEDFIELD CORP,584118103,0000064516,C,01,LU,59088,2860,19760318,19790228
007201,MEDFORD CORP,584139109,0000064518,P,01,LU,52362,2892,19750613,19841008
007203,MEDIA GENERAL INC  -OLD,58499D933,,P,01,LU,50972,21183,19700803,20131111
007204,MEDIA HORIZIONS  -CL A,584408108,,P,01,LU,52397,2861,19800918,19860731
007205,MEDICAL ACTION INDUSTRIES,58449L100,0000748270,P,01,LU,10507,7340,19860722,20141002
007206,MEDICAL CARE AMERICA,58450C106,0000890207,P,01,LC,77896,29570,19920910,19940916
007206,MEDICAL CARE AMERICA,58450C106,0000890207,P,01,LC,52434,6113,19830628,19920909
007207,MEDICAL COMPUTER SYSTEMS INC,584553101,0000064574,P,01,LU,52442,2837,19750303,19780428
007208,COMPEX TECHNOLOGIES INC,204513105,0000064578,C,01,LU,52469,9936,19810105,20060228
007210,MEDICALODGES INC,584641104,0000064624,P,01,LU,52514,25257,19780131,19801031
007211,MEDICARE-GLASER CORP,584645105,0000727748,P,01,LU,52522,6613,19831122,19890331
007212,MEDICATION SERVICES INC,584646103,0000353631,C,01,LU,52549,6960,19840403,19860402
007213,MEDICINE SHOPPE INTL INC,584686109,0000731841,P,01,LU,52557,6722,19831216,19951130
007214,MEDINET INC,584895106,0001124625,C,01,LU,89966,7270,19850219,19860612
007215,MEDICAL DYNAMICS INC,584900401,0000216540,C,02,LU,52565,2865,19810608,20001011
007216,MEDIQ INC,584906101,0000350920,P,01,LC,62914,2862,19810427,19980529
007217,MEDICAL GRAPHICS CORP,584907109,0000352862,C,01,LU,52581,2896,19810602,19991231
007218,MEDICAL ELEC CORP OF AMERICA,584910202,,P,01,LU,52600,2855,19831031,19871130
007219,MEDCHEM PRODUCTS INC,584911101,0000711074,P,01,LU,52602,5765,19830112,19950929
007220,MEDIFLEX SYSTEMS,584914105,,P,01,LU,52645,6448,19831004,19850228
007221,MEDIPLEX GROUP INC,584945109,0000725777,C,01,LC,76777,11071,19910807,19940623
007221,MEDIPLEX GROUP INC,584945109,0000725777,C,01,LC,52653,6530,19831027,19860422
